Site;Block No;Sample ID;Site Code;Meadow coverage;Epiphyte Load;LAI;LUSI;Sediment type;Turbidity;Light intensity;Temperatur
Katsadia;2;5_2_3;PAA;50;0,3;1,78848;8,75;CS;15;19584,48;17,28
Katsadia;2;5_2_4;PAA;50;1,333333333;1,5568;8,75;CS;15;19584,48;17,28
Katsadia;2;5_2_5;PAA;50;0,277777778;5,557728;8,75;CS;15;19584,48;17,28
Katsadia;2;5_2_6;PAA;50;2,5;1,29168;8,75;CS;15;19584,48;17,28
Katsadia;2;5_2_7;PAA;50;1;2,352;8,75;CS;15;19584,48;17,28
Katsadia;3;5_3_1;PAA;35;1,166666667;2,3552;8,75;CS;15;19584,48;17,28
Katsadia;3;5_3_2;PAA;35;1,714285714;1,72312;8,75;CS;15;19584,48;17,28
Katsadia;3;5_3_3;PAA;35;1,375;3,422304;8,75;CS;15;19584,48;17,28
Katsadia;3;5_3_4;PAA;35;1,428571429;1,94752;8,75;CS;15;19584,48;17,28
Katsadia;3;5_3_5;PAA;35;1,666666667;1,82784;8,75;CS;15;19584,48;17,28
Katsadia;3;5_3_6;PAA;35;1,285714286;3,61152;8,75;CS;15;19584,48;17,28
Katsadia;3;5_3_7;PAA;35;0,666666667;2,4616;8,75;CS;15;19584,48;17,28
Christos;1;6_1_1;CS;100;0,222222222;8,64864;2;CS;18;22037,72;17,5
Christos;1;6_1_2;CS;100;0,3125;7,54416;2;CS;18;22037,72;17,5
Christos;1;6_1_3;CS;100;0,384615385;5,63904;2;CS;18;22037,72;17,5
Christos;1;6_1_4;CS;100;0,076923077;8,487072;2;CS;18;22037,72;17,5
Christos;1;6_1_5;CS;100;0,058823529;7,5648;2;CS;18;22037,72;17,5
Christos;1;6_1_6;CS;100;0,615384615;5,2272;2;CS;18;22037,72;17,5
Christos;1;6_1_7;CS;100;0,1;10,18416;2;CS;18;22037,72;17,5
Christos;2;6_2_1;CS;100;0,222222222;6,11712;2;CS;18;22037,72;17,5
Christos;2;6_2_2;CS;100;0,291666667;8,10432;2;CS;18;22037,72;17,5
Christos;2;6_2_3;CS;100;0,095238095;5,496576;2;CS;18;22037,72;17,5
Christos;2;6_2_4;CS;100;0,166666667;12,553632;2;CS;18;22037,72;17,5
Christos;2;6_2_5;CS;100;0,130434783;7,27488;2;CS;18;22037,72;17,5
Christos;2;6_2_6;CS;100;0,260869565;6,3648;2;CS;18;22037,72;17,5
Christos;2;6_2_7;CS;100;0,285714286;9,096192;2;CS;18;22037,72;17,5
Christos;3;6_3_1;CS;100;0,769230769;11,593728;2;CS;18;22037,72;17,5
Christos;3;6_3_2;CS;100;0,15;7,41664;2;CS;18;22037,72;17,5
Christos;3;6_3_3;CS;100;0,157894737;8,737344;2;CS;18;22037,72;17,5
Christos;3;6_3_4;CS;100;0,368421053;7,6032;2;CS;18;22037,72;17,5
Christos;3;6_3_5;CS;100;0,1;20,80512;2;CS;18;22037,72;17,5
Christos;3;6_3_6;CS;100;0,4;8,013824;2;CS;18;22037,72;17,5
Christos;3;6_3_7;CS;100;0,6;6,98368;2;CS;18;22037,72;17,5
